Level 2 Short;Level 2;Level 1 Short;Level 1;Original;Origin
;;WHN;Wohnen;Villen und Stadtvillen mit parkartigem Garten (überwiegend 1870er-1945);Berlin
;;GWB;Gewerbe;Baumschule/Gartenbau;Berlin
;;WHN;Wohnen;Wochenendhäuser und kleingartenartige Gebiete;Berlin
;;WHN;Wohnen;Reihen- und Doppelhäuser mit Garten;Berlin
;;WHN;Wohnen;Freistehende Einfamilienhäuser mit Garten;Berlin
;;WHN;Wohnen;Verdichtung in Einzelhausgebieten Mischbebauung mit Gärten und halbprivater Umgrünung (1870er bis heute);Berlin
;;LWT;Landwirtschaft;Landwirtschaft;Berlin
ODR;Outdoor;FRZ;Freizeit;Campingplatz;Berlin
;Dorf;WHN;Wohnen;Dörfliche Mischbebauung;Berlin
;;LVK;Luftverkehr;Flughafen;Berlin
;;GRF;Grünfläche;Park / Grünfläche;Berlin
BRH;Brache;FRF;Freifläche;Brachfläche vegetationsfrei;Berlin
;;FRZ;Freizeit;Stadtplatz / Promenade;Berlin
;;FDH;Friedhof;Friedhof;Berlin
BRN;Brache;GRF;Grünfläche;Brachfläche Mischbestand aus Wiesen Gebüsch und Bäumen;Berlin
;;WSR;Wasser;Gewässer;Berlin
SPT;Sport;FRZ;Freizeit;Sportnutzungen;Berlin
BRH;Brache;GRF;Grünfläche;Brachfläche wiesenartiger Vegetationsbestand;Berlin
;;WHN;Wohnen;Kleingarten;Berlin
;;GWB;Gewerbe;Baumschule / Gartenbau;Berlin
WLD;Wald;GWB;Grünfläche;Wälder und Forsten;Berlin
;;LWT;Landwirtschaft;Ackerland;Berlin
;;GRF;Grünfläche;Grünland;Berlin
NTR;Natur;GRF;Grünfläche;Naturbestimmte Flächen;Hamburg
;;WSR;Wasser;Wasserflächen;Hamburg
;;HFN;Hafen;Hafen*;Hamburg
;;LWT;Landwirtschaft;Flächen für die Landwirtschaft;Hamburg
BAU;Bau;WHN;Wohnen;Bauflächen mit Dorf- oder Wohngebietscharakter;Hamburg
;;GRF;Grünfläche;Grünflächen;Hamburg
;;GMB;Gemeinbedarf;Flächen für den Gemeinbedarf;Hamburg
WLD;Wald;GRF;Grünfläche;Wald;Hamburg
;;GWB;Gewerbe;Gewerbliche Bauflächen*;Hamburg
;;VES;Versorgung;Flächen für Versorgungsanlagen oder die Verwertung oder Beseitugung von Abwasser und festen Abfallstoffen*;Hamburg
;;WHN;Wohnen;Wohnbauflächen;Hamburg
