Level2Short;Level2;Level1Short;Level1;Original;Origin;Subtype1;Subtype2
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;
;;VES;Versorgung;Fläche für Ver- und Entsorgung;Cologne;;
;;IND;Industrie;Industriefläche;Cologne;;
;;MSH;Misch;Mischgebiet ohne Wohngebietscharakter dichte Bebauung;Cologne;;
;;LWT;Landwirtschaft;Fläche für die Landwirtschaft;Cologne;;
;;WHN;Wohnen;Besonderes Wohngebiet;Cologne;;
;;BHN;Bahn;Fläche für Bahnanlagen;Cologne;;
;;GRF;Grünfläche;Fläche für die Forstwirtschaft;Cologne;;
;;KRN;Kern;Kerngebiet;Cologne;;
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;
;;SND;Sonder;Sonderbaufläche allgemein;Cologne;;
;;BHN;Bahn;Fläche für Hauptverkehrszüge;Cologne;;
SPT;Sport;FRZ;Freizeit;Grünfläche mit besonderer Nutzung;Cologne;Golf;
;;WHN;Wohnen;Wohnbaufläche;Cologne;;
;;BHN;Bahn;Fläche für Bahnanlagen;Cologne;;
;;MLT;Militär;Waldfläche mit besonderer Nutzung;Cologne;Militärischer Bereich;
;;GWB;Gewerbe;Gewerbefläche;Cologne;;
;;GWB;Gewerbe;Gewerbefläche;Cologne;Berichtigung erforderlich;
;;WHN;Wohnen;Sanierungsgebiet;Cologne;;
;;GMB;Gemeinbedarf;Sonderbaufläche allgemein;Cologne;Veranstaltungen;
SPT;Sport;FRZ;Freizeit;Grünfläche mit tw. landwirtschftl. Nutzung;Cologne;Golf;
;;SND;Sonder;Sonderbaufläche allgemein;Cologne;;
WND;Windenergie;ENG;Energie;Fläche für Windenergieanlagen;Cologne;;WEA
;;LVK;Luftverkehr;Fläche für den Luftverkehr;Cologne;;
KLT;Kultur;GMB;Gemeinbedarf;Sonderbaufläche mit Zweckbestimmung;Cologne;Theater;
;;WHN;Wohnen;Wohnbaufläche zurückgestellt;Cologne;;
;;BHN;Bahn;Fläche für Hauptverkehrszüge;Cologne;;
PRK;Parken;VRK;Verkehr;Grünfläche mit besonderer Nutzung;Cologne;Stellplätze;
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;
SPT;Sport;FRZ;Freizeit;Sonderbaufläche allgemein;Cologne;;Sport/Gesundheit/Bildung
BLD;Bildung;GMB;Gemeinbedarf;Sonderbaufläche mit Zweckbestimmung;Cologne;;F.H.
;;BHN;Bahn;Sonderbaufläche mit Zweckbestimmung;Cologne;;KVB-Betriebshof
SHP;Shopping;GWB;Gewerbe;Sonderbaufläche mit Zweckbestimmung;Cologne;;großfl. E.H.
KLT;Kultur;GMB;Gemeinbedarf;Sonderbaufläche mit Zweckbestimmung;Cologne;;Kulturelle Einrichtungen
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;Heim d. Inn. Miss.
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;DFVLR
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;GVZ
SHP;Shopping;GWB;Gewerbe;Sonderbaufläche mit Zweckbestimmung;Cologne;;Möbelmarkt
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;G.M.I.
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;Schlachthof
;;GWB;Gewerbe;Sonderbaufläche mit Zweckbestimmung;Cologne;;Messe
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;Forensik
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;Reha-Zentr.
SPT;Sport;FRZ;Freizeit;Sonderbaufläche allgemein;Cologne;;Sport/Kultur
BGS;Biogas;ENG;Energie;Sonderbaufläche mit Zweckbestimmung;Cologne;;Biogasanlage
SHP;Shopping;GWB;Gewerbe;Sonderbaufläche mit Zweckbestimmung;Cologne;;großfl. E.H.+z.S.
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;PH
RLG;Religion;GMB;Gemeinbedarf;Sonderbaufläche mit Zweckbestimmung;Cologne;;Kloster
;;MLT;Militär;Sonderbaufläche mit Zweckbestimmung;Cologne;;Miltärischer Bereich
;;SND;Sonder;Sonderbaufläche allgemein;Cologne;;Nahversorgung
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;MPI
;;MLT;Militär;Sonderbaufläche mit Zweckbestimmung;Cologne;;Militärischer Bereich
SPT;Sport;GMB;Gemeinbedarf;Sonderbaufläche mit Zweckbestimmung;Cologne;;EIS u. SCHWIMMST.
;;VRK;Verkehr;Sonderbaufläche mit Zweckbestimmung;Cologne;;P+R / Hotel
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;Messe/Verk.Üb.Pl.
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;Vollz.anstalt
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;F.M.A.
BLD;Bildung;GMB;Gemeinbedarf;Sonderbaufläche mit Zweckbestimmung;Cologne;;Sporthochschule
SHP;Shopping;GWB;Gewerbe;Sonderbaufläche mit Zweckbestimmung;Cologne;;Baumarkt
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;Lager/GVZ
SPT;Sport;FRZ;Freizeit;Sonderbaufläche mit Zweckbestimmung;Cologne;;Golf
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;Fermeldeturm
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;Rundfunk
KLT;Kultur;GMB;Gemeinbedarf;Sonderbaufläche mit Zweckbestimmung;Cologne;;kultur. Einricht./Theater
;;HFN;Hafen;Sonderbaufläche mit Zweckbestimmung;Cologne;;Hafen
;;GMB;Gemeinbedarf;Sonderbaufläche mit Zweckbestimmung;Cologne;;Clubhaus
BLD;Bildung;GMB;Gemeinbedarf;Sonderbaufläche mit Zweckbestimmung;Cologne;;UNI
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;Soz. Einricht.
BLD;Bildung;GMB;Gemeinbedarf;Sonderbaufläche mit Zweckbestimmung;Cologne;;FH
SHP;Shopping;GWB;Gewerbe;Sonderbaufläche mit Zweckbestimmung;Cologne;;Großmarkt
ODR;Outdoor;FRZ;Freizeit;Sonderbaufläche mit Zweckbestimmung;Cologne;;Camping
SPT;Sport;FRZ;Freizeit;Sonderbaufläche mit Zweckbestimmung;Cologne;;Stadion
;;GWB;Gewerbe;Sonderbaufläche mit Zweckbestimmung;Cologne;;Post
;;BHN;Bahn;Sonderbaufläche mit Zweckbestimmung;Cologne;;KVB
SHP;Shopping;GWB;Gewerbe;Sonderbaufläche mit Zweckbestimmung;Cologne;;Blumenmarkt
;;SND;Sonder;Sonderbaufläche mit Zweckbestimmung;Cologne;;Festplatz
;;MSH;Misch;Mischgebiet;Cologne;;
;;GWB;Gewerbe;Gewerbefläche;Cologne;Berechtigung erforderlich;
KLT;Kultur;GMB;Gemeinbedarf;Sonderbaufläche mit Zweckbestimmung;Cologne;Theater;kultur. Einricht./Theater
SPT;Sport;FRZ;Freizeit;Sonderbaufläche allgemein;Cologne;Veranstaltungen;Sport/Kultur
