category,max,nulls
undefined,5.42996227144147,12439,6826,8063,9042,9655,10243,9337,8616,6256,4436,3177,2072,1184,544,288,199,164,159,73,36,89
undefined,36.5483311862908,21402,24383,12298,6966,6356,3887,3011,2627,2425,1894,2168,1389,1151,1039,747,387,236,294,84,69,85
undefined,3.49971799826231,60762,5449,4756,4132,3574,3197,2103,1674,1263,1286,1114,936,925,625,328,254,137,131,71,99,82
undefined,8.17080368454372,28076,14453,13476,10338,6741,5013,3329,2521,1918,1787,1392,1105,899,834,573,126,51,66,52,65,83
undefined,3.58816155984547,39828,8118,8053,8074,7345,6241,3934,3007,2715,1861,1173,635,382,411,324,254,194,140,109,63,37
undefined,8.89766297494574,18707,9773,10683,9837,9645,8184,6832,5550,3886,3272,1818,1255,889,705,544,276,272,282,164,119,205
undefined,13.6611753831325,33331,14323,12484,7041,5566,4669,3557,3468,2581,2084,1451,704,474,306,239,188,170,118,58,48,38
undefined,2.60429909684821,61290,4611,4293,4331,4000,3859,3146,2706,1649,1021,553,435,501,186,145,84,23,20,26,15,4
undefined,7.46288046381864,28743,11505,11225,8804,7565,6347,4734,3694,3180,2077,1601,945,934,574,378,178,79,85,73,65,112
undefined,15.268673447779,16192,12929,10005,8160,6085,5580,5082,4236,3901,3870,3691,3736,2891,1865,1641,885,724,603,313,240,269
undefined,14.4134015150462,19331,10801,9834,8228,6757,6069,5523,4671,4216,4063,2516,2339,2185,1615,1555,1072,955,667,308,102,91
undefined,11.7958706544524,27780,14304,13679,7625,5426,4884,3524,2949,2848,2210,1899,1509,1120,885,594,489,532,342,115,82,102
undefined,4.18775228785938,50953,6765,6655,6985,5942,4145,2394,1877,1909,1327,842,765,470,443,453,284,235,212,141,68,33
undefined,6.69738777950645,27305,10482,10707,11241,8151,7384,4647,3483,2671,1865,1331,1132,763,544,419,253,163,81,85,92,99
undefined,5.68693618854682,41836,10098,8975,8276,5813,4431,4363,2852,2295,1056,779,492,541,400,214,124,108,72,71,73,29
undefined,5.29907593653521,43486,7794,7739,9029,6208,3669,3107,2621,2303,1994,1512,1476,911,289,249,193,105,41,56,67,49
undefined,28.7725324766518,28442,31538,14786,6973,4554,1765,1469,1083,831,457,270,108,96,98,106,83,54,57,59,41,28
undefined,15.9036930105025,18523,15303,10668,7953,6494,6187,5325,4041,2852,2635,2597,2301,1925,2028,1487,1006,669,415,266,109,114
undefined,53.2727499583035,30749,35060,9606,5923,3470,2168,1945,1466,656,383,206,254,139,136,108,103,121,94,114,104,93
undefined,3.43559557162652,56661,5391,4939,4240,4077,3984,2983,1642,1468,1344,1264,881,645,600,590,581,478,476,371,219,64
